Português (Brasil);English;Español
Umidade relativa;Relative humidity;Humedad relativa
Unidade à direita;Unit at right;Unidad a la derecha
Unidade à esquerda;Unit at bottom;Unidad en la parte inferior
Unifilar;Unifilar;Unifilar
Unifilar 1;Unifilar 1;Unifilar 1
UNIFILAR 1;UNIFILAR 1;UNIFILAR 1
Unifilar 2;Unifilar 2;Unifilar 2
UNIFILAR 2;UNIFILAR 2;UNIFILAR 2
Unifilar1;Unifilar1;Unifilar1
Unifilar2;Unifilar2;Unifilar2
Uso de cores - 1ª abordagem;Use of colors - 1st approach;Uso de colores: primer enfoque
Uso de cores - 2ª abordagem;Use of colors - 2nd approach;Uso de colores: segundo enfoque
Uso de cores - 3ª abordagem;Use of colors - 3rd approach;Uso de colores: tercer enfoque
Valor Dinâmico;Dynamic Value;Valor dinámico
Valor Manual;Manual Value;Valor manual
Valor numérico;Numeric value;Valor numérico
Vamos lá!;Let's go!;¡Vamonos!
Variar a espessura da linha.;Vary the line thickness.;Varíe el grosor de la línea.
Variar cores da linha, deixando-as fixas (independentes do tema).;Vary colors of the line, leaving them fixed (independent of the theme).;Varíe los colores de la línea, dejándolos fijos (independientemente del tema).
Vertical;Vertical;Vertical
VIDEO WALL;VIDEO WALL;PARED DE VIDEO
Visão múltipla;Multiple view;Vista múltiple
Visão unificada;Unified view;Vista unificada
Zona 1;Zone 1;Zona 1
Zona 2;Zone 2;Zona 2
Zona 3;Zone 3;Zona 3
Zona de Alarmes Horizontal;Alarm Zone Horizontal;Zona de alarma horizontal
Zona de Alarmes Vertical;Alarm Zone Vertical;Zona de alarma vertical
Zonas de Alarmes;Alarm Zones;Zonas de alarma
